SITE_URL,ASSET_URI,CURRENT_BID,CLOSING_DATE_UTC,VIN/SERIAL,YEAR,MAKE/BRAND,MODEL,LOT#,MAP_URL,SELLER,INVENTORY_ID,ITEM_LOCATION,CONDITION,LOCATION,EMAIL,TITLE_RESTRICTION,ACCOUNT_TYPE,MILES,ASSET_CONTACT,PHONE,HOURS,KILOMETERS
http://govdeals.com,/asset/218/2574,2225.0,2024-12-18T14:45:00Z,2C3CDXAT1DH648388,2013,Dodge,Charger,2574-218,"http://maps.google.com/maps?q=33.65888595581055,+-84.0093002319336+(1124 Vaughn St SE)",,111,"1124 Vaughn St SE, , Conyers, Georgia, 30012, USA",Used/See Description,"Conyers, Georgia, USA",,,Government,"119,788.00 (Accurate?: Yes)",,,,
http://govdeals.com,/asset/32515/685,2999.0,2024-12-18T14:45:00Z,2C3CDXAT4HH642090,2017,Dodge,Charger,685-32515,"http://maps.google.com/maps?q=33.950918,+-81.110915+(1441 Boston Ave )",,257246003 (School Fence),"1441 Boston Ave , West Columbia, South Carolina, 29170-2137, USA",Used/See Description,"West Columbia, South Carolina, USA",Kelly.Ulmer@admin.sc.gov,Clean Title,Government,"161,190.00 (Accurate?: Yes)",Kelly Ulmer,+18038966880,,
http://govdeals.com,/asset/68/24278,4550.0,2024-12-18T14:45:00Z,2C3CDXAT7GH192191,2016,Dodge,Charger,24278-68,"http://maps.google.com/maps?q=33.176998138427734,+-96.93260192871094+(1600 Mark Tree Ln)","Little Elm, TX",2191,"1600 Mark Tree Ln, Little Elm, Texas, 75068, USA",Used/See Description,"Little Elm, Texas, USA",,Clean Title,Government,"71,434.00 (Accurate?: )",,,,
http://govdeals.com,/asset/5/27825,1000.0,2024-12-18T14:45:00Z,2C3CDXAT2EH155398,2014,Dodge,Charger,27825-5,"http://maps.google.com/maps?q=36.304235,+-119.7922+(711 W Cinnamon Dr)","Lemoore, CA",1979/P33,"711 W Cinnamon Dr, Lemoore, California, 93245-9587, USA",Used/See Description,"Lemoore, California, USA",,Clean Title,Government,"65,630.00 (Accurate?: Yes)",,,,
http://govdeals.com,/asset/32519/685,4470.0,2024-12-18T14:45:00Z,2C3CDXAT5GH175079,2016,Dodge,Charger,685-32519,"http://maps.google.com/maps?q=33.950918,+-81.110915+(1441 Boston Ave )",,257246002 (School Fence),"1441 Boston Ave , West Columbia, South Carolina, 29170-2137, USA",Used/See Description,"West Columbia, South Carolina, USA",Kelly.Ulmer@admin.sc.gov,Clean Title,Government,"171,939.00 (Accurate?: Yes)",Kelly Ulmer,+18038966880,,
http://govdeals.com,/asset/18/27825,300.0,2024-12-18T14:45:00Z,2C3CDXAT7CH126430,2012,Dodge,Charger,27825-18,"http://maps.google.com/maps?q=36.304235,+-119.7922+(711 W Cinnamon Dr)","Lemoore, CA",1876/P31,"711 W Cinnamon Dr, Lemoore, California, 93245-9587, USA",Used/See Description,"Lemoore, California, USA",,Clean Title,Government,"83,909.00 (Accurate?: Yes)",,,,
http://govdeals.com,/asset/4/27825,1000.0,2024-12-18T14:45:00Z,2C3CDXATXEH362492,2014,Dodge,Charger,27825-4,"http://maps.google.com/maps?q=36.304235,+-119.7922+(711 W Cinnamon Dr)","Lemoore, CA",2369/P45,"711 W Cinnamon Dr, Lemoore, California, 93245-9587, USA",Used/See Description,"Lemoore, California, USA",,Clean Title,Government,"78,623.00 (Accurate?: Yes)",,,,
http://govdeals.com,/asset/15082/10337,1225.0,2024-12-18T14:45:00Z,2C3CDXKT5LH235211,2020,Dodge,Charger,10337-15082,"http://maps.google.com/maps?q=39.95633,+-83.115778+(4200 Surface Rd)","State of Ohio, OH",25V256328/D-17,"4200 Surface Rd, Columbus, Ohio, 43228-1313, USA",Used/See Description,"Columbus, Ohio, USA",,Clean Title,Government,"115,115.00 (Accurate?: Unknown)",,,,
http://govdeals.com,/asset/32/19240,150.0,2024-12-18T14:45:00Z,2C3CDXAT2CH200952,2012,Dodge,Charger,19240-32,"http://maps.google.com/maps?q=31.991002,+-87.288316+(12 Water St)","Wilcox County Sheriff's Office, AL",,"12 Water St, PO Box 337, Camden, Alabama, 36726-2121, USA",Scrap,"Camden, Alabama, USA",,,Government,,,,,
http://govdeals.com,/asset/15302/10337,2050.0,2024-12-18T14:45:00Z,2C3CDXAG6DH560388,2013,Dodge,Charger,10337-15302,"http://maps.google.com/maps?q=39.95633,+-83.115778+(4200 Surface Rd)","State of Ohio, OH",25V258417/B-07,"4200 Surface Rd, Columbus, Ohio, 43228-1313, USA",Used/See Description,"Columbus, Ohio, USA",,Clean Title,Government,"168,235.00 (Accurate?: Yes)",,,,
